scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,establishment means,degree of establishment,[OLD] introduction pathway [WILL BE DELETED],introduction pathway 1,introduction pathway 2,introduction pathway 3,date first observation,date last observation,source,occurrence remarks,native range,terrestrial,marine,freshwater,host,abundance,threat status,date added,added by,verified by
"Chrysemys picta bellii (Gray, 1831)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Chrysemys,subspecies,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2018,2018,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Emys orbicularis (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Emys,species,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,1990,2018,Own observation,,Europe | Africa | Asia,TRUE,FALSE,TRUE,,,,9/12/2020,Loïc van Doorn,
"Graptemys ouachitensis (Cagle, 1953)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,species,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2018,2018,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Graptemys pseudogeographica (Gray, 1831)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,species,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2014,2019,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Pseudemys nelsoni (Carr, 1938)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Pseudemys,species,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2018,2018,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Trachemys scripta (Thunberg In Schoepff, 1792)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,species,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2009,2020,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Trachemys scripta elegans (Wied, 1838)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,subspecies,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2009,2020,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Trachemys scripta scripta (Schoepff, 1792)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,subspecies,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2010,2020,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Trachemys scripta troostii (Holbrook, 1836)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,subspecies,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2012,2019,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Testudo graeca (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,species,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,1935,2017,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,Europe | Africa | Asia,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Apalone (Rafinesque, 1832)",Animalia,Chordata,Reptilia,Testudines,Trionychidae,Apalone,genus,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2017,2020,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Zamenis situla (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Zamenis,species,ICZN,Brussels,BE,present,introduced,casual,stowaway_other,transportStowaway,,,2018,2018,"Graitson, Paquet and Verbelen, 2021",,Southeastern Europe and Asia,TRUE,FALSE,FALSE,,,,5/7/2021,Loïc van Doorn,
"Thamnophis marcianus (Baird and Girard,1853)",Animalia,Chordata,Reptilia,Squamata,Natricidae,Thamnophis,species,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,1993,1994,Weiserbs and Jacob 2005,,North and central America,TRUE,FALSE,TRUE,,,,5/7/2021,Loïc van Doorn,
"Thamnophis saurita (Linnaeus, 1766)",Animalia,Chordata,Reptilia,Squamata,Natricidae,Thamnophis,species,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,1993,1994,Weiserbs and Jacob 2005,,North America,TRUE,FALSE,TRUE,,,,5/7/2021,Loïc van Doorn,
"Natrix maura (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Natricidae,Natrix,species,ICZN,Brussels,BE,present,introduced,casual,,,,,1967,1967,Weiserbs and Jacob 2005,,"Europe, Africa",TRUE,FALSE,TRUE,,,,5/7/2021,Loïc van Doorn,
"Natrix tessellata (Laurenti, 1768)",Animalia,Chordata,Reptilia,Squamata,Natricidae,Natrix,species,ICZN,Brussels,BE,present,introduced,casual,,,,,1962,1962,Weiserbs and Jacob 2005,,"Europe, Asia, Africa",TRUE,FALSE,TRUE,,,,5/7/2021,Loïc van Doorn,
