scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,establishment means,degree of establishment,[OLD] introduction pathway [WILL BE DELETED],introduction pathway 1,introduction pathway 2,introduction pathway 3,date first observation,date last observation,source,occurrence remarks,native range,terrestrial,marine,freshwater,host,abundance,threat status,date added,added by,verified by
"Pogona vitticeps (Ahl, 1926)",Animalia,Chordata,Reptilia,Squamata,Agamidae,Pogona,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2010,2019,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen | SOS reptiel",,Australia,TRUE,FALSE,FALSE,,,,9/12/2020,Loïc van Doorn,
"Boa constrictor (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Boidae,Boa,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other | stowaway_container,pet,otherIntentionalRelease,containerBulk,2006,2023,https://www.hln.be/dentergem/man-ontdekt-boa-constrictor-in-zijn-dakgoot-slang-blijkt-ontsnapt-bij-de-buren~a13151f6/ | Vogelbescherming Vlaanderen,,South America,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Boa (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Boidae,Boa,genus,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2014,2016,Vogelbescherming Vlaanderen,,,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Chamaeleo calyptratus (Duméril & Bibron, 1851)",Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Chamaeleo,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2014,2023,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,Middle east,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Furcifer pardalis (Cuvier, 1829)",Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Furcifer,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2015,2015,SOS reptiel,,Madagascar,TRUE,FALSE,FALSE,,,,9/12/2020,Loïc van Doorn,
"Trioceros hoehnelii (Steindachner, 1891)",Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Trioceros,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2019,2019,Vogelbescherming Vlaanderen,,Kenya | Uganda,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Chrysopelea ornata (Shaw, 1802)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Chrysopelea,species,ICZN,Flanders,BE,present,introduced,casual,stowaway_container,containerBulk,,,2014,2014,SOS reptiel,,Asia,TRUE,FALSE,FALSE,,,,9/12/2020,Loïc van Doorn,
"Elaphe quatuorlineata (Lacépède, 1987)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Elaphe,species,ICZN,Flanders,BE,present,introduced,casual,,,,,2012,2013,Vogelbescherming Vlaanderen,,Europe,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Elaphe sauromates (Pallas, 1814)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Elaphe,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2014,2014,SOS reptiel,,Europe | Asia,TRUE,FALSE,FALSE,,,,9/12/2020,Loïc van Doorn,
"Elaphe schrenckii (Strauch, 1873)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Elaphe,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2019,2020,https://www.natuurhulpcentrum.be/slang-gevangen-in-tongeren/ | SOS reptiel,,Eastern Asia,TRUE,FALSE,TRUE,,,,9/12/2020,Loïc van Doorn,
"Elaphe taeniura (Cope, 1861)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Orthriophis,species,ICZN,Flanders,BE,present,introduced,established,escape_pet | release_other,pet,otherIntentionalRelease,,2006,2020,https://www.natuurpunt.be/nieuws/taiwanese-rattenslang-plant-zich-voort-vlaanderen-20150625 | GBIF-waarnemingen,subspecies taeniura from china (Elaphe taeniura taeniura),Asia,TRUE,FALSE,FALSE,,,,4/18/2018,Tim Adriaens,
"Heterodon nasicus (Baird & Girard, 1852)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Heterodon,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2020,2021,SOS reptiel,,North America,TRUE,FALSE,FALSE,,,,9/12/2020,Loïc van Doorn,
"Hierophis viridiflavus (Lacépède, 1987)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Hierophis,species,ICZN,Flanders,BE,present,introduced,casual,,,,,2010,2023,Vogelbescherming Vlaanderen,,Europe,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Lampropeltis getula californiae (Blainville, 1835)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,subspecies,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2014,2019,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,North America,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Lampropeltis (Fitzinger, 1843)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,genus,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2011,2014,Vogelbescherming Vlaanderen,,North America | South America,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Lampropeltis triangulum (Lacépède, 1789)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2010,2019,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",,North America | Central America,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Lampropeltis triangulum hondurensis (K.L. Williams, 1978)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,subspecies,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2017,2023,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,Central America,TRUE,FALSE,FALSE,,,,9/17/2020,Loïc van Doorn,
"Lycodon capucinus (Boie, 1827)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Lycodon,species,ICZN,Flanders,BE,present,introduced,casual,,,,,2013,2013,Vogelbescherming Vlaanderen,,Asia | Introduced elsewhere,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Pantherophis guttatus (Linnaeus, 1766)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2010,2020,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",,North America,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Pantherophis obsoletus (Say, 1823)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2013,2020,https://www.hbvl.be/cnt/dmf20200724_95741235 | Vogelbescherming Vlaanderen,,North America,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Pituophis catenifer (Blainville, 1835)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Pituophis,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2010,2010,Vogelbescherming Vlaanderen,,Mexico | USA | Canada,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Pituophis melanoleucus (Daudin, 1803)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Pituophis,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2013,2013,Vogelbescherming Vlaanderen,,USA,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Spilotes pullatus (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Spilotes,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2010,2017,Vogelbescherming Vlaanderen,,Central America | South America,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Thamnophis (Fitzinger, 1843)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,genus,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2012,2015,Vogelbescherming Vlaanderen,,Central America | South America,TRUE,FALSE,TRUE,,,,12/23/2020,Loïc van Doorn,
"Zamenis longissimus (Laurenti, 1768)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Zamenis,species,ICZN,Flanders,BE,present,introduced,casual,stowaway_container | escape_pet | release_other,containerBulk,pet,otherIntentionalRelease,2016,2021,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,Europe | Asia,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Basiliscus plumifrons (Cope, 1876)",Animalia,Chordata,Reptilia,Squamata,Corytophanidae,Basiliscus,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2017,2017,SOS reptiel,,Central America,TRUE,FALSE,FALSE,,,,9/12/2020,Loïc van Doorn,
"Sistrurus (Garman, 1884)",Animalia,Chordata,Reptilia,Squamata,Crotalidae,Sistrurus,genus,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2011,2011,News article,,North America,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Anolis sagrei (Duméril and Bibron, 1837)",Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,species,ICZN,Flanders,BE,present,introduced,casual,,,,,2018,2018,Vogelbescherming Vlaanderen,,Bahamas | Cuba | US | Introduced elsewhere,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Anolis (Daudin, 1802)",Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,genus,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2018,2018,Own observation,,North America | Central America| South America,TRUE,FALSE,FALSE,,,,9/10/2020,Loïc van Doorn,
"Naja melanoleuca (Hallowell, 1857)",Animalia,Chordata,Reptilia,Squamata,Elapidae,Naja,species,ICZN,Flanders,BE,present,introduced,casual,contaminant_timber,timberTrade,,,2020,2020,https://www.hln.be/gent/baby-van-gevaarlijke-afrikaanse-boscobra-gevangen-in-houtbedrijf-haven~a053b826/ | SOS reptiel,,Africa,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Eublepharis macularius (Blyth, 1854)",Animalia,Chordata,Reptilia,Squamata,Eublepharidae,Eublepharis,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2012,2019,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | News article | Vogelbescherming Vlaanderen | SOS reptiel",,Asia,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Gekko gecko (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Gekko,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2010,2012,Vogelbescherming Vlaanderen,,Asia | Introduced elsewhere,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Hemidactylus (Oken, 1817)",Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,genus,ICZN,Flanders,BE,present,introduced,casual,,,,,2013,2018,Vogelbescherming Vlaanderen,,,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Pachydactylus (Wiegmann, 1834)",Animalia,Chordata,Reptilia,Squamata,gekkonidae,Pachydactylus,genus,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2010,2019,Vogelbescherming Vlaanderen,,Africa,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Phelsuma (Gray, 1825)",Animalia,Chordata,Reptilia,Squamata,gekkonidae,Phelsuma,genus,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2013,2018,SOS reptiel | Vogelbescherming Vlaanderen | Own observation,,Madagascar,TRUE,FALSE,FALSE,,,,9/12/2020,Loïc van Doorn,
"Iguana iguana (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Iguanidae,Iguana,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2010,2019,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",,Central America | South America,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Iguana (Laurenti, 1768)",Animalia,Chordata,Reptilia,Squamata,Iguanidae,Iguana,genus,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2013,2013,Vogelbescherming Vlaanderen,,,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Lacerta agilis (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,species,ICZN,Flanders,BE,present,introduced,casual,,,,,2017,2017,Firsthand accounts,,Europe,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Podarcis muralis (Laurenti, 1768)",Animalia,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,species,ICZN,Flanders,BE,present,introduced,established,stowaway_other,transportStowaway,,,2004,2020,"Jooris, R. & Lehouck, M. (2007). De Muurhagedis in Vlaanderen. Natuur.focus 6(4):123-129 | Vogelbescherming Vlaanderen",presumably introduced as stowaway in transport of goods per train,Europe,TRUE,FALSE,FALSE,,,,4/18/2018,Tim Adriaens,
"Podarcis siculus (Rafinesque-schmaltz, 1810)",Animalia,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,species,ICZN,Flanders,BE,present,introduced,established,stowaway_other,transportStowaway,,,2004,2023,Anonymus (2008). Hagedissen uit meer zuidelijke regio’s van Europa nu ook in Vlaanderen. Hyla flits 2008/3,,Southern Europe,TRUE,FALSE,FALSE,,,,4/18/2018,Tim Adriaens,
"Boaedon (Duméril, Bibron and Duméril, 1854)",Animalia,Chordata,Reptilia,Squamata,Lamprophiidae,Boaedon,genus,ICZN,Flanders,BE,present,introduced,casual,stowaway_container,containerBulk,,,2013,2020,SOS reptiel | Vogelbescherming Vlaanderen,,Africa,TRUE,FALSE,FALSE,,,,9/12/2020,Loïc van Doorn,
"Rhamphiophis (Peters, 1854)",Animalia,Chordata,Reptilia,Squamata,Lamprophiidae,Rhamphiophis,genus,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2015,2015,Vogelbescherming Vlaanderen,,Africa,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Natrix helvetica Lacépède, 1789",Animalia,Chordata,Reptilia,Squamata,Natricidae,Natrix,species,ICZN,Flanders,BE,present,introduced,established,release_landscape_improvement | release_conservation,landscapeImprovement,conservationOrWildlifeManagement,,1968,2020,Hyla werkgroep,,Europe,TRUE,FALSE,TRUE,,,,4/18/2018,Tim Adriaens,
"Natrix maura (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Natricidae,Natrix,species,ICZN,Flanders,BE,present,introduced,casual,contaminant_timber,timberTrade,,,2015,2019,Hyla database,Eke - Schelde Eke - Schelde t.h.v. Bolveerput (OV),Europe | Africa,TRUE,FALSE,TRUE,,,,3/9/2019,Tim Adriaens,
"Natrix tessellata (Laurenti, 1768)",Animalia,Chordata,Reptilia,Squamata,Natricidae,Natrix,species,ICZN,Flanders,BE,present,introduced,casual,stowaway_other,transportStowaway,,,2007,2014,"Jooris, R. & Lehouck, M. (2007). De Muurhagedis in Vlaanderen. Natuur.focus 6(4):123-129",vicinity of railway station of Leuven,Europe | Asia,TRUE,FALSE,TRUE,,,,10/15/2018,Tim Adriaens,
"Tarentola mauritanica (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Phyllodactylidae,Tarentola,species,ICZN,Flanders,BE,present,introduced,casual,stowaway_other,transportStowaway,,,2013,2022,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",,Europe | Africa,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Antaresia childreni (Gray, 1842)",Animalia,Chordata,Reptilia,Squamata,Pythonidae,Antaresia,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2018,2018,Vogelbescherming Vlaanderen,,Australia,TRUE,FALSE,FALSE,,,,9/18/2020,Loïc van Doorn,
"Morelia spilota (Lacépède, 1804)",Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2013,2019,https://nnieuws.be/artikel/tapijtpython-zorgt-voor-paniek-pulle-vrijdagmorgen-gevonden | Vogelbescherming Vlaanderen,,Australia,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Python molurus (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2010,2018,SOS reptiel | Vogelbescherming Vlaanderen,,Asia,TRUE,FALSE,TRUE,,,,9/12/2020,Loïc van Doorn,
"Python regius (Shaw, 1802)",Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2010,2020,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",,Africa,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Python (Daudin, 1803)",Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,genus,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2016,2016,Vogelbescherming Vlaanderen,,,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
Chalcides ocellatus (Forskal 1775),Animalia,Chordata,Reptilia,Squamata,Scincidae,Chalcides,species,ICZN,Flanders,BE,present,introduced,casual,,,,,2017,2017,Vogelbescherming Vlaanderen,,Europe | Africa | Middle East,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Trachylepis striata (Peters, 1844)",Animalia,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,species,ICZN,Flanders,BE,present,introduced,casual,,,,,2018,2019,Vogelbescherming Vlaanderen,,Africa,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Varanus niloticus (Linnaeus, 1766)",Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2011,2018,Vogelbescherming Vlaanderen,,Africa,TRUE,FALSE,TRUE,,,,12/23/2020,Loïc van Doorn,
"Vipera aspis (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Viperidae,Vipera,species,ICZN,Flanders,BE,present,introduced,casual,stowaway_other,transportStowaway,,,2007,2007,News article,,Europe,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Gekkota (Cuvier, 1817)",Animalia,Chordata,Reptilia,Squamata,,,Infraorder,ICZN,Flanders,BE,present,introduced,casual,stowaway_container | escape_pet | release_other,containerBulk,pet,otherIntentionalRelease,2011,2019,SOS reptiel | Vogelbescherming Vlaanderen,,All continents except Antarctica,TRUE,FALSE,FALSE,,,,9/12/2020,Loïc van Doorn,
"Chelydra serpentina (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Testudines,Chelydridae,Chelydra,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2006,2016,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Chrysemys picta (Schneider, 1783)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Chrysemys,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2009,2009,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Chrysemys picta bellii (Gray, 1831)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Chrysemys,subspecies,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2012,2012,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Emys orbicularis (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Emys,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2010,2020,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,Europe | Africa | Asia,TRUE,FALSE,TRUE,,,,9/12/2020,Loïc van Doorn,
"Graptemys geographica (Lesueur, 1817)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2010,2014,Vogelbescherming Vlaanderen,,North America,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Graptemys ouachitensis (Cagle, 1953)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2018,2018,https://www.gbif.org/occurrence/download/0055570-200613084148143,,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Graptemys pseudogeographica (Gray, 1831)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2010,2019,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Graptemys pseudogeographica kohnii (Baur, 1890)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,subspecies,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2005,2018,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",,North America,TRUE,FALSE,TRUE,,,,4/18/2018,Tim Adriaens,
"Graptemys pseudogeographica pseudogeographica (Gray, 1831)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,subspecies,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2005,2018,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",,North America,TRUE,FALSE,TRUE,,,,4/18/2018,Tim Adriaens,
