taxonID,description,type,language
alien-herpetofauna-belgium:taxon:3a8291f00819019004d5617b918c868a,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:3ccc27578f179093c30542a99baca746,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:3ccc27578f179093c30542a99baca746,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:3ccc27578f179093c30542a99baca746,South America,native range,en
alien-herpetofauna-belgium:taxon:3e4d80d2440fca3c0bda8f579056cc62,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:3e4d80d2440fca3c0bda8f579056cc62,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:3e4d80d2440fca3c0bda8f579056cc62,Australia,native range,en
alien-herpetofauna-belgium:taxon:41c58b038b49ee40c38efb46e5624186,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:41c58b038b49ee40c38efb46e5624186,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:41c58b038b49ee40c38efb46e5624186,Asia,native range,en
alien-herpetofauna-belgium:taxon:43bd6596833aafe9e43b7301eb64318d,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:43bd6596833aafe9e43b7301eb64318d,stowaway_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:43bd6596833aafe9e43b7301eb64318d,Europe | Africa,native range,en
alien-herpetofauna-belgium:taxon:45afdaecea5a48ec08a8d7eee568d63a,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:45afdaecea5a48ec08a8d7eee568d63a,Europe | Northern Africa,native range,en
alien-herpetofauna-belgium:taxon:468abc4fa7be8283dfdabafc557755f4,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:468abc4fa7be8283dfdabafc557755f4,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:468abc4fa7be8283dfdabafc557755f4,North America,native range,en
alien-herpetofauna-belgium:taxon:4975c2c62a63e4383b1e9b6c849c60bf,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:4975c2c62a63e4383b1e9b6c849c60bf,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:4975c2c62a63e4383b1e9b6c849c60bf,Africa,native range,en
alien-herpetofauna-belgium:taxon:4a32eb37dd44f83925f95e39ee2da0a0,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:4a32eb37dd44f83925f95e39ee2da0a0,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:4a32eb37dd44f83925f95e39ee2da0a0,Europe | Africa | Asia,native range,en
alien-herpetofauna-belgium:taxon:51c001f265c9a71e54b3560f72b04361,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:51c001f265c9a71e54b3560f72b04361,stowaway_container,introduction pathway,en
alien-herpetofauna-belgium:taxon:51c001f265c9a71e54b3560f72b04361,Middle East | Central Asia,native range,en
alien-herpetofauna-belgium:taxon:584c397bee0d1e9af38cf6400a07af86,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:584c397bee0d1e9af38cf6400a07af86,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:584c397bee0d1e9af38cf6400a07af86,Africa,native range,en
alien-herpetofauna-belgium:taxon:58e54c752ab1a10d28157e225f283408,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:58e54c752ab1a10d28157e225f283408,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:58e54c752ab1a10d28157e225f283408,Central America,native range,en
alien-herpetofauna-belgium:taxon:59464973fe73bb7ce6c6f41b8db2c469,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:59464973fe73bb7ce6c6f41b8db2c469,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:59464973fe73bb7ce6c6f41b8db2c469,North America,native range,en
alien-herpetofauna-belgium:taxon:5bc276d3137bc16f629b43e251aa6675,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:5bc276d3137bc16f629b43e251aa6675,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:5bc276d3137bc16f629b43e251aa6675,Central America | South America,native range,en
alien-herpetofauna-belgium:taxon:5c173337ff181527acde9b275d17ae48,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:5c173337ff181527acde9b275d17ae48,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:5c173337ff181527acde9b275d17ae48,Mexico | USA | Canada,native range,en
alien-herpetofauna-belgium:taxon:5f4c8aad83dea48eb1aadf0ac0b2bd08,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:5f4c8aad83dea48eb1aadf0ac0b2bd08,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:5f4c8aad83dea48eb1aadf0ac0b2bd08,Europe,native range,en
